School_ID,Name_of_School,Elementary_Middle_High_School,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Family_Involvement_Score,Parent_Engagement_Score,Average_Student_Attence,Rate_of_Misconducts,Average_Teacher_Attence,Students_Taking_Algebra,Students_Passing_Algebra,X9_Grade_Explore_2009,X9_Grade_Explore_2010,X10_Grade_Plan_2009,X10_Grade_Plan_2010,X11_Grade_Average_ACT_2011,Net_Change_EXPLORE_PLAN,Net_Change_PLAN_ACT,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment,Freshman_on_Track_Rate,Probation
609761,George H Corliss High School,HS,Probation,Level 3,52,,71.3,23.4,95.2,,,12,11.4,13,12.9,14.3,0.9,1.3,10.6,42.8,44,621,76.2,1
610086,Mount Vernon Elementary School,ES,Not on Probation,Level 2,26,47,93.3,76.6,94.1,,,,,,,,,,,,,290,,0
609969,Bret Harte Elementary School,ES,Probation,Level 3,,47,94.2,17.9,95.4,,,,,,,,,,,,,340,,1
610017,Maria Saucedo Elementary Scholastic Academy,ES,Not on Probation,Level 1,,43,96.8,19.4,96.9,10.8,91.7,,,,,,,,,,,1306,,0
609926,Franklin Elementary Fine Arts Center,ES,Not on Probation,Level 1,,58,95.9,5.6,95.3,,,,,,,,,,,,,363,,0
610073,Ellen Mitchell Elementary School,ES,Not on Probation,Level 1,64,56,95.5,12.2,97.7,,,,,,,,,,,,,344,,0
609811,Orville T Bright Elementary School,ES,Probation,Level 3,,41,92.2,55.7,95.3,,,,,,,,,,,,,361,,1
609728,Theodore Roosevelt High School,HS,Probation,Level 3,,,82.3,9.7,96.1,,,12.9,13.4,14.3,14,15.7,1.1,1.4,13.7,59.4,42.9,1490,61.2,1
610077,Donald Morrill Math & Science Elementary School,ES,Probation,Level 3,25,44,93.4,19.6,94.8,38.9,50,,,,,,,,,,,823,,1
609910,Laughlin Falconer Elementary School,ES,Not on Probation,Level 2,24,49,96.1,5.7,97,,,,,,,,,,,,,1520,,0
609995,Rufus M Hitch Elementary School,ES,Not on Probation,Level 1,77,55,95.1,3.7,96.6,,,,,,,,,,,,,542,,0
610274,James Weldon Johnson Elementary School,ES,Probation,Level 2,38,51,94.7,1.4,97.5,,,,,,,,,,,,,365,,1
609880,Stephen Decatur Classical Elementary School,ES,Not on Probation,Level 1,99,52,96.2,2.8,95.4,,,,,,,,,,,,,289,,0
609881,Edward C Delano Elementary School,ES,Probation,Level 2,64,55,93.4,20.3,94.7,,,,,,,,,,,,,414,,1
609850,Horace Greeley Elementary School,ES,Not on Probation,Level 1,,52,95.9,6,96,,,,,,,,,,,,,611,,0
609809,Lorenz Brentano Math & Science Academy Elementary School,ES,Not on Probation,Level 2,47,,94.7,9.2,97.7,48.1,3.8,,,,,,,,,,,455,,0
609813,Charles S Brownell Elementary School,ES,Not on Probation,Level 2,16,48,92.8,14.1,95.5,,,,,,,,,,,,,310,,0
